source,target,weight
Ludacris,The‐Dream,2
Ludacris,Justin Bieber,1
Ludacris,I‐20,3
Ludacris,DJ Khaled,3
Ludacris,Trina,3
Ludacris,Gucci Mane,3
Ludacris,DJ Drama,2
Ludacris,Shawty Lo,2
Ludacris,DJ Smallz,18
Ludacris,Ace Hood,2
David Banner,Static Major,2
David Banner,Akon,2
Kurupt,Dr. Dre,2
Trinidad James,Gucci Mane,5
Trinidad James,31gramms,4
Trinidad James,Kato,3
Trinidad James,Scotty ATL,3
Trinidad James,DJ Drama,2
Trinidad James,Young Scooter,2
Trinidad James,Childish Gambino,2
Trinidad James,T.I.,2
Trinidad James,Young Dro,2
Trinidad James,Lazy Rich,2
Gucci Mane,The‐Dream,2
Gucci Mane,Young Thug,5
Gucci Mane,Meek Mill,2
Gucci Mane,Nicki Minaj,5
Gucci Mane,Maroon 5,1
Gucci Mane,Waka Flocka Flame,6
Gucci Mane,Yo Gotti,4
Gucci Mane,Trina,4
Gucci Mane,DJ Scream,3
Gucci Mane,Juicy J,3
Gucci Mane,Project Pat,3
Gucci Mane,Rich Homie Quan,2
Gucci Mane,Young Dolph,2
Gucci Mane,Wooh da Kid,2
Gucci Mane,OJ da Juiceman,2
Gucci Mane,Pooh Shiesty,2
Gucci Mane,Foogiano,2
Gucci Mane,Peewee Longway,2
Gucci Mane,Supastar J. Kwik,2
Young Scooter,DJ Esco,4
T.I.,Young Thug,3
T.I.,DJ Khaled,3
Bone Thugs‐n‐Harmony,Twista,2
Twista,Jeremih,2
Twista,Chance the Rapper,2
Justin Timberlake,Timbaland,13
Justin Timberlake,Madonna,10
Justin Timberlake,Anna Kendrick,6
Justin Timberlake,Gwen Stefani,4
Justin Timberlake,Eric André,2
Justin Timberlake,Daveed Diggs,2
Justin Timberlake,Ant Clemons,2
Justin Timberlake,The Lonely Island,5
Justin Timberlake,Lady Gaga,2
Justin Timberlake,Kenan Thompson,6
Justin Timberlake,Ester Dean,4
Timbaland,Madonna,10
Timbaland,Static Major,3
Madonna,Lady Gaga,1
Madonna,Britney Spears,2
Anna Kendrick,Kenan Thompson,5
Anna Kendrick,Ester Dean,4
Ant Clemons,The‐Dream,2
Ant Clemons,Young Thug,2
The Lonely Island,Justin Bieber,1
The Lonely Island,Chris Redd,3
The Lonely Island,Michael Bolton,3
The Lonely Island,Concrete Cookie,2
The Lonely Island,Chris Parnell,2
The Lonely Island,Lady Gaga,2
The Lonely Island,The Roots,2
The Lonely Island,Adam Levine,2
The Lonely Island,Julian Casablancas,2
The Lonely Island,Will Ferrell,2
The Lonely Island,Kenan Thompson,2
The Lonely Island,Kristen Wiig,2
The Lonely Island,Natalie Portman,3
Lady Gaga,DJ ICE,2
Lady Gaga,Charli xcx,1
Lady Gaga,Fred Armisen,1
Lady Gaga,Jon Hamm,1
Lady Gaga,Jonah Hill,1
Lady Gaga,Julian Casablancas,1
Lady Gaga,Justin Bieber,1
Lady Gaga,Kenan Thompson,1
Lady Gaga,Kristen Wiig,1
Lady Gaga,Michael Bolton,1
Lady Gaga,Natalie Portman,1
Adele,Mick Boogie,2
Bad Bunny,J Balvin,4
Bad Bunny,Bryant Myers,7
Bad Bunny,Residente,3
Bad Bunny,Farruko,3
Bad Bunny,Jhayco,7
Bad Bunny,Ñengo Flow,4
Bad Bunny,El Taiger,2
Bad Bunny,Cosculluela,3
Bad Bunny,KAROL G,2
Bad Bunny,Nicky Jam,2
Bad Bunny,Yandel,2
Bad Bunny,Tainy,4
Bad Bunny,Anuel AA,3
Bad Bunny,Almighty,2
Bad Bunny,Zion,2
Bad Bunny,Ozuna,2
J Balvin,Farruko,9
J Balvin,Cosculluela,3
J Balvin,KAROL G,3
J Balvin,Nicky Jam,3
J Balvin,Yandel,2
J Balvin,Tainy,5
J Balvin,Anuel AA,4
J Balvin,Ozuna,5
J Balvin,MC Fioti,5
J Balvin,Stefflon Don,4
J Balvin,Fuego,3
J Balvin,Jowell & Randy,4
J Balvin,KEVVO,2
J Balvin,Chris Jedi,2
J Balvin,Arcángel,2
J Balvin,Juan Magán,3
J Balvin,Feid,3
Bryant Myers,Noriel,16
Bryant Myers,Almighty,13
Bryant Myers,Farruko,13
Bryant Myers,Miky Woodz,11
Bryant Myers,Anuel AA,3
Bryant Myers,Anonimus,8
Bryant Myers,Darell,8
Bryant Myers,Brytiago,7
Bryant Myers,Juhn,6
Bryant Myers,Arcángel,6
Bryant Myers,El Alfa,6
Bryant Myers,Baby Rasta,5
Bryant Myers,Juanka,5
Bryant Myers,Kevin Roldán,5
Bryant Myers,Jhayco,4
Bryant Myers,El Taiger,2
Bryant Myers,KEVVO,2
Noriel,Farruko,2
Noriel,Yandel,2
Almighty,Anuel AA,3
Almighty,The Almighty,51
Farruko,Ñengo Flow,9
Farruko,Pedro Capó,5
Farruko,Anuel AA,10
Farruko,Yomo,3
Farruko,Lary Over,3
Farruko,Ozuna,3
Farruko,Myke Towers,3
Farruko,Justin Quiles,3
Farruko,Darell,3
Farruko,Zion & Lennox,2
Farruko,D.OZi,2
Farruko,Maximus Wel,2
Farruko,Cosculluela,6
Farruko,Nicky Jam,2
Farruko,Yandel,2
Farruko,KEVVO,4
Farruko,Beéle,3
Farruko,Marshmello,4
Farruko,IAmChino,3
Farruko,Prince Royce,2
Miky Woodz,Jhayco,2
Miky Woodz,KEVVO,2
Anuel AA,Jhayco,2
Anuel AA,Ñengo Flow,4
Anuel AA,KAROL G,3
Anuel AA,Ozuna,13
Anuel AA,Daddy Yankee,8
Anuel AA,Kendo Kaponi,4
Anuel AA,Arcángel,3
Anuel AA,Brytiago,3
Anuel AA,Darell,3
Anuel AA,Lunay,2
Anuel AA,Anonimus,2
Anuel AA,Chris Jedi,4
Anuel AA,Maroon 5,1
Anonimus,Jowell & Randy,3
Anonimus,KEVVO,2
Darell,KEVVO,5
Brytiago,KEVVO,3
Juhn,Beéle,2
Arcángel,Ñengo Flow,6
Arcángel,Cosculluela,4
Arcángel,Nicky Jam,2
Arcángel,Ozuna,3
Arcángel,KEVVO,3
Arcángel,Chris Jedi,2
Arcángel,Reyo,5
Arcángel,J King,3
Arcángel,Eladio Carrión,2
Arcángel,Mueka,2
Arcángel,JungL,2
Arcángel,Ñejo & Dálmata,2
Arcángel,Baby Rasta & Gringo,2
Arcángel,Kendo Kaponi,2
Arcángel,YOVNGCHIMI,2
Arcángel,Bizarrap,2
Arcángel,Beéle,2
El Alfa,Play‐N‐Skillz,3
Juanka,Ñengo Flow,3
Juanka,KEVVO,2
Residente,Sílvia Pérez Cruz,2
Residente,iLe,2
Residente,Ibeyi,2
Residente,Voltio,2
Residente,Three 6 Mafia,2
Residente,Ricky Martin,2
Residente,Tego Calderón,2
Residente,Yaviah,2
Ricky Martin,Jennifer Lopez,2
Tego Calderón,Yandel,2
Ñengo Flow,Jhayco,2
Ñengo Flow,Yomo,5
Ñengo Flow,D.OZi,5
Ñengo Flow,Brray,4
Ñengo Flow,Jory Boy,4
Ñengo Flow,Myke Towers,4
Ñengo Flow,Yaga & Mackie,4
Ñengo Flow,Jon Z,4
Ñengo Flow,Gotay el Auténtiko,3
Ñengo Flow,Wisin,3
Ñengo Flow,Randy,3
Ñengo Flow,Cosculluela,5
Ñengo Flow,Yandel,2
Ñengo Flow,Ozuna,2
Ñengo Flow,Jowell & Randy,2
Ñengo Flow,KEVVO,4
Yomo,Cosculluela,4
Yomo,Jowell & Randy,6
Ozuna,Jhayco,3
Ozuna,KAROL G,3
Ozuna,Tainy,2
Ozuna,Daddy Yankee,5
Ozuna,Chris Jedi,4
Ozuna,Beéle,15
Ozuna,Wisin & Yandel,3
