source,target,weight
Eminem,DJ Fletch,50
Eminem,Old World Disorder,3
Eminem,Akinyele,1
Eminem,Planet Asia,1
Eminem,Shabaam Sahdeeq,2
Eminem,SKAM2?,4
Eminem,A.L.,1
Eminem,Kwest Tha Madd Lad,2
Eminem,Skylar Grey,4
Eminem,The Beatles,1
Eminem,DJ Whiteowl,23
Detail,Tiiu,3
Detail,Against,2
Detail,Sunchase,2
Meanz of Operation,AceVane,8
Meanz of Operation,King Ru da 3rd,3
Jeremih,Shlohmo,2
Jeremih,K Camp,2
Jeremih,Natasha Mosley,2
Paul McCartney,Linda McCartney,2
Paul McCartney,John Lennon,2
Maroon 5,H.E.R.,1
Maroon 5,Marshmello,1
Maroon 5,Rozzi,1
H.E.R.,Robert Glasper,3
H.E.R.,Meshell Ndegeocello,3
H.E.R.,Bryson Tiller,2
Marshmello,TRICKSTAR,4
Marshmello,Alesso,2
Marshmello,James Bay,3
Marshmello,SVDDEN DEATH,2
Marshmello,Space Laces,2
Alesso,Calvin Harris,1
Alesso,Ryan Tedder,9
Alesso,Dirty South,7
Alesso,Ruben Haze,6
Alesso,James Bay,2
Alesso,Zara Larsson,1
Rozzi,Scary Pockets,8
Rozzi,stories,7
Rozzi,ARTY,3
DJ Fletch,Gunplay,12
Akinyele,Kool G Rap,7
Akinyele,Sadat X,4
Akinyele,Main Source,2
Planet Asia,Tri State,5
Planet Asia,MidaZ the Beast,5
Planet Asia,The Musalini,4
Planet Asia,Flying Lindus,3
Planet Asia,Hus Kingpin,3
Planet Asia,Wais P,3
Planet Asia,Apollo Brown,3
Planet Asia,Killa Kali,3
Planet Asia,Strong Arm Steady,3
Planet Asia,Rasco,3
Planet Asia,Calvin Valentine,2
Planet Asia,Al'Tarba,2
Planet Asia,DirtyDiggs,2
Planet Asia,Evidence,2
Planet Asia,Milano,2
Planet Asia,Shabaam Sahdeeq,2
Shabaam Sahdeeq,Ras Kass,8
Shabaam Sahdeeq,El Gant,6
Shabaam Sahdeeq,Ran Reed,5
Shabaam Sahdeeq,J57,5
Shabaam Sahdeeq,Reks,4
Shabaam Sahdeeq,Xzibit,3
Shabaam Sahdeeq,Pawz One,3
Shabaam Sahdeeq,DJ Revolution,2
Shabaam Sahdeeq,Mic Handz,2
Shabaam Sahdeeq,Ruste Juxx,2
Shabaam Sahdeeq,SKAM2?,3
Shabaam Sahdeeq,A.L.,2
Shabaam Sahdeeq,Kwest Tha Madd Lad,2
Ras Kass,R.J.,2
SKAM2?,Ill Bill,4
SKAM2?,Jigmastas,4
SKAM2?,DJ EFN,2
SKAM2?,Garcia,2
SKAM2?,Dynas,2
SKAM2?,Mr. Akil,2
SKAM2?,Shadowman,2
SKAM2?,A.L.,2
SKAM2?,Kwest Tha Madd Lad,2
SKAM2?,Miami Beat Wave,2
A.L.,Al Green,67
A.L.,Yasiin Bey,5
A.L.,Kwest Tha Madd Lad,2
Diddy – Dirty Money,Skylar Grey,15
Skylar Grey,Nom de Plume,6
Skylar Grey,Lonely Boy,6
Skylar Grey,deadmau5,5
Skylar Grey,Kaskade,5
Skylar Grey,Sander van Doorn,2
Kaskade,Phoebe Ryan,2
DJ Whiteowl,DJ Moe Sticky,3
Calvin Harris,Clementine Douglas,14
Calvin Harris,John Newman,9
Calvin Harris,Eliza Rose,4
Calvin Harris,Dimitri Vangelis,1
Calvin Harris,Wyman,1
Calvin Harris,Tom Odell,1
Calvin Harris,Example,1
Calvin Harris,Nicky Romero,1
Calvin Harris,W&W,1
Calvin Harris,MEDUZA,1
Calvin Harris,James Carter,1
Calvin Harris,Normani,5
Clementine Douglas,Wh0,10
Clementine Douglas,The Blessed Madonna,6
Clementine Douglas,Dom Dolla,5
Clementine Douglas,Hannah Wants,5
Clementine Douglas,Sonny Fodera,5
Clementine Douglas,GotSome,3
Clementine Douglas,Dillon Nathaniel,2
Clementine Douglas,Riton,2
Clementine Douglas,Major League DJz,2
Clementine Douglas,King Promise,2
Clementine Douglas,SJAY Music,2
The Blessed Madonna,Dua Lipa,17
The Blessed Madonna,Joy Anonymous,6
The Blessed Madonna,Danielle Ponder,6
The Blessed Madonna,Fred again..,3
The Blessed Madonna,Ric Wilson,2
The Blessed Madonna,Kon,2
The Blessed Madonna,Solomun,2
The Blessed Madonna,The Joy,2
The Blessed Madonna,Jacob Lusk,2
Riton,MNEK,3
John Newman,The Heritage Orchestra,2
Eliza Rose,M4A4,4
Eliza Rose,Sally C,4
Eliza Rose,Interplanetary Criminal,3
Eliza Rose,The Trip,3
Eliza Rose,Confidence Man,3
Eliza Rose,Or:la,2
Eliza Rose,MJ Cole,2
Eliza Rose,DJ Tennis,2
Eliza Rose,Cody Currie,2
Dimitri Vangelis,Wyman,4
Dimitri Vangelis,Jonny Rose,3
Wyman,Oliver Wyman,30
Wyman,Neal Stephenson,22
Wyman,Tavia Gilbert,22
Wyman,William Dufris,22
Wyman,理不尽な孫の手,5
Wyman,Brandon Sanderson,2
Tom Odell,Lost Frequencies,3
Nicky Romero,Anouk,6
Nicky Romero,Trilane,6
Nicky Romero,Kokaholla,6
Nicky Romero,Quarterback Baby,6
Nicky Romero,Monocule,4
Nicky Romero,Navarra,4
Nicky Romero,GATTÜSO,3
Nicky Romero,Jared Lee,3
Nicky Romero,Nile Rodgers,3
Nicky Romero,Dimitri Vegas & Like Mike,3
Nicky Romero,Nico & Vinz,2
Nicky Romero,Teamworx,2
Nicky Romero,Amba Shepherd,2
Dimitri Vegas & Like Mike,W&W,9
W&W,Jonas Stenberg,5
W&W,Harris & Ford,2
W&W,Special D.,2
W&W,Wiwek,2
W&W,Moguai,2
MEDUZA,Eddie Meduza,63
MEDUZA,James Carter,2
James Carter,Cyrus Chestnut,9
James Carter,Ivo Perelman,6
James Carter,Ali Jackson,6
James Carter,Reginald Veal,6
James Carter,Sinfonia Varsovia,3
James Carter,Giancarlo Guerrero,3
James Carter,De Nazaten van Prins Hendrik,3
James Carter,Elley Duhé,2
James Carter,FAST BOY,2
James Carter,Sentimentals,2
Elley Duhé,Clean Bandit,5
Normani,Sam Smith,3
Normani,Dua Lipa,2
Normani,Wizkid,2
Dua Lipa,Phoebe Ryan,1
Dua Lipa,Kygo,1
Dua Lipa,Jamiroquai,1
anti.negative,Zach Countryman,2
DRAM,Ellis Quinn,5
DRAM,Bakery Boys,2
DRAM,Guapdad 4000,2
Jarreau Vandal,Nao Yoshioka,2
Jarreau Vandal,Olivia Nelson,2
Jarreau Vandal,Dotboi,2
Jarreau Vandal,Gaidaa,2
Jarreau Vandal,Russ splash,2
ButeraMoonlight,XBLUESKIES,2
James Blake,Endel,15
James Blake,Dave,2
WILLOW,THE ANXIETY,6
WILLOW,Tyler Cole,6
WILLOW,The Embers,5
WILLOW,Jahnavi Harrison,4
WILLOW,Jaden,2
WILLOW,Travis Barker,2
Kanye West,Kanye West Tribute Band,10
Michel Teló,Maria Cecília & Rodolfo,2
A‐Roma,R.J.,2
A‐Roma,Shawn Lewis,2
A‐Roma,Orru Jackson,2
R.J.,RJ Payne,93
R.J.,Stu Bangas,4
R.J.,PA. Dre,4
R.J.,Jay Pluss,3
R.J.,Grafh,3
R.J.,BP,2
R.J.,Tragedy Khadafi,2
R.J.,Conway,2
R.J.,Sunnie Blac,2
R.J.,Flee Lord,2
David Rush,Vein,8
David Rush,Kevin Rudolf,6
David Rush,Qwote,3
Vein,Death,7
Vein,The Satan,7
Vein,Iridium,3
Vein,Motormouth,3
Vein,Inerpois,3
Vein,Backup,3
Vein,Zerberuz,2
Vein,Frenesys,2
IAmChino,Fito Blanko,3
IAmChino,Papayo,3
IAmChino,Chacal,4
IAmChino,Víctor Cárdenas,3
IAmChino,Omar Courtz,2
IAmChino,La Perversa,2
Chacal,El Micha,7
Chacal,David Calzado y La Charanga Habanera,3
Chacal,Willy Chirino,2
Chacal,Srta. Dayana,2
Chacal,Osmani García,2
Chacal,Alex Duvall,2
Chacal,El Chulo,2
Prince Royce,Romeo Santos,8
Prince Royce,Jennifer Lopez,3
Prince Royce,Ha*Ash,2
Prince Royce,Natti Natasha,2
Jennifer Lopez,Ja Rule,6
Jennifer Lopez,Caddillac Tah,4
Nicola Fasano,Pat‐Rich,19
Nicola Fasano,Dual Beat,6
Nicola Fasano,Plastik Funk,6
Nicola Fasano,Steve Forest,5
Nicola Fasano,Outwork,5
Nicola Fasano,Mr. Gee,4
Nicola Fasano,Yoshimoto,4
Nicola Fasano,Lumidee,3
Nicola Fasano,Club Dogo,3
Nicola Fasano,Mohombi,3
Nicola Fasano,Salento Guys,2
Nicola Fasano,RKN,2
Mohombi,Lin C,14
Mohombi,Joey Montana,14
Mohombi,Jessy Matador,13
Mohombi,Alexandra Stan,8
Mohombi,DJ Assad,6
Mohombi,Craig David,6
Mohombi,Greg Parys,6
Mohombi,Marc Mysterio,3
Erick Morillo,Pete Tong,3
Phoebe Ryan,Tritonal,10
Phoebe Ryan,Cash Cash,3
Phoebe Ryan,Mt Eden,3
Phoebe Ryan,LOKII,2
Phoebe Ryan,Skizzy Mars,2
Kygo,Conrad Sewell,6
Kygo,Dillon Francis,6
Kygo,James Hersey,6
Kygo,Kyla La Grange,4
Kygo,Victoria Nadine,3
Kygo,Ellie Goulding,3
Kygo,Andrew Jackson,2
Kygo,Sandro Cavazza,2
Lana Del Rey,Parov Stelar,1
Lana Del Rey,R3B3L General,1
Parov Stelar,Anduze,2
Parov Stelar,Mani Hoffman,2
Zara Larsson,BTS,1
Zara Larsson,MNEK,1
Zara Larsson,djSalem,1
Zara Larsson,Usher,1
Zara Larsson,Clean Bandit,1
Zara Larsson,Eshon Burgundy,1
Zara Larsson,Courtney Orlando,1
Zara Larsson,J Givens,1
Zara Larsson,Pete Tong,1
Zara Larsson,The Heritage Orchestra,1
Zaytoven,Usher,2
MNEK,Lee Walker,4
MNEK,DJ Deeon,4
MNEK,Katy B,4
MNEK,Matoma,4
MNEK,House Gospel Choir,3
MNEK,Hailee Steinfeld,2
MNEK,Sub Focus,2
MNEK,Paul Woolford,2
djSalem,Clean Bandit,2
Clean Bandit,Stylo G,7
Clean Bandit,Wes Nelson,5
Clean Bandit,MARINA,5
Clean Bandit,BBC Philharmonic,3
Clean Bandit,Luis Fonsi,3
Clean Bandit,Nikki Cislyn,3
Clean Bandit,A7S,3
Clean Bandit,Yasmin Green,2
Clean Bandit,Love Ssega,2
Clean Bandit,Eliza Shaddad,2
Clean Bandit,Jess Glynne,2
Usher,Tristan Garner,2
Usher,The Wanted,2
Usher,Neon Hitch,2
Usher,Gary Go,2
Eshon Burgundy,Zara Royalty,7
Eshon Burgundy,J. Johnson,3
Eshon Burgundy,Jeremiah Bligen,3
Eshon Burgundy,Evyr,2
Eshon Burgundy,Andre Ward,2
Eshon Burgundy,Kristin Taylor,2
Eshon Burgundy,Derek Minor,2
Eshon Burgundy,Bizzle,2
Courtney Orlando,Flame,8
Courtney Orlando,Sho Baraka,7
Courtney Orlando,Json,7
Courtney Orlando,Thi'sl,6
Courtney Orlando,Lecrae,6
Courtney Orlando,Da’ T.R.U.T.H.,5
Courtney Orlando,Trip Lee,4
Courtney Orlando,R‐Swift,2
Courtney Orlando,KJ‐52,2
Pete Tong,Sasha,13
Pete Tong,Danny Rampling,11
Pete Tong,Paul Oakenfold,11
Pete Tong,Seb Fontaine,9
Pete Tong,Carl Cox,8
Pete Tong,Judge Jules,8
Pete Tong,John Digweed,6
Pete Tong,Paul van Dyk,4
Pete Tong,Col Hamilton,3
Pete Tong,Laurent Garnier,3
Pete Tong,The Heritage Orchestra,31
Pete Tong,Paul Bleasdale,3
Pete Tong,Claudio Coccoluto,2
Pete Tong,Timo Maas,2
The Heritage Orchestra,DJ Yoda,17
The Heritage Orchestra,Tim Minchin,7
The Heritage Orchestra,UNKLE,6
The Heritage Orchestra,Kölsch,3
The Heritage Orchestra,Gregor Schwellenbach,3
