artist1,artist2
Black Eyed Peas,Alexis Jordan
Aloe Blacc,Flo Rida
Aloe Blacc,Pitbull
Aloe Blacc,Beyoncé
Aloe Blacc,Alexis Jordan
Flo Rida,Pitbull
Flo Rida,Beyoncé
Flo Rida,Alexis Jordan
Pitbull,Beyoncé
Pitbull,Alexis Jordan
Beyoncé,Alexis Jordan
R. Kelly,Pharrell Williams
R. Kelly,Bruno Mars
Pharrell Williams,Bruno Mars
Lady Gaga,Bruno Mars
Lady Gaga,Bruno Mars
Alesso,Far Too Loud
Alesso,Bruno Mars
Far Too Loud,Bruno Mars
Le Berger,Bruno Mars
Cardi B,Bruno Mars
Lupe Fiasco,Bruno Mars
Cardi B,Bruno Mars
Cardi B,Bruno Mars
Cardi B,Bruno Mars
Cardi B,Bruno Mars
Martin Danielle,Carl Louis
Martin Danielle,Bruno Mars
Carl Louis,Bruno Mars
Cardi B,Bruno Mars
Cardi B,Bruno Mars
Bruno Mars,DJ ICE
Cardi B,Lil Jon
Cardi B,Ying Yang Twins
Cardi B,Bruno Mars
Lil Jon,Ying Yang Twins
Lil Jon,Bruno Mars
Ying Yang Twins,Bruno Mars
Bruno Mars,Parliament
Bruno Mars,B.o.B
Bruno Mars,Wes Fif
B.o.B,Wes Fif
R. Kelly,Pharrell Williams
R. Kelly,Bruno Mars
Pharrell Williams,Bruno Mars
Bruno Mars,Charli xcx
Martin Danielle,Carl Louis
Martin Danielle,Bruno Mars
Carl Louis,Bruno Mars
Lady Gaga,Bruno Mars
Ariana Grande,Bruno Mars
Bruno Mars,Bad Meets Evil
Bruno Mars,Bad Meets Evil
Bruno Mars,Bad Meets Evil
Eminem,Royce da 5′9″
Eminem,Bruno Mars
Royce da 5′9″,Bruno Mars
Bruno Mars,B.o.B
Lil Wayne,Bruno Mars
Damian “Jr. Gong” Marley,Bruno Mars
Bruno Mars,B.o.B
Bruno Mars,Bad Meets Evil
Lil Wayne,Rick Ross
Lil Wayne,Bruno Mars
Rick Ross,Bruno Mars
Lupe Fiasco,Bruno Mars
Bruno Mars,B.o.B
DJ Sizzahandz,Bruno Mars
DJ Sizzahandz,The Police
Bruno Mars,The Police
Lil Wayne,Bruno Mars
Eminem,Bruno Mars
Lupe Fiasco,Bruno Mars
Bruno Mars,B.o.B
Bruno Mars,B.o.B
Bruno Mars,Jaeson Ma
Bruno Mars,Jason Mraz
The Goodfellas,Bruno Mars
Damian “Jr. Gong” Marley,Bruno Mars
Bruno Mars,B.o.B
Damian “Jr. Gong” Marley,Bruno Mars
Lil Wayne,Bruno Mars
Lil Wayne,Misha B
Bruno Mars,Misha B
Robbie Mac,Bruno Mars
Lil Wayne,Bruno Mars
Bruno Mars,Bad Meets Evil
Eminem,Royce da 5′9″
Eminem,Bruno Mars
Royce da 5′9″,Bruno Mars
Bruno Mars,Bad Meets Evil
Steve Angello,Bruno Mars
Bruno Mars,Borgeous
Bruno Mars,Sebastian Ingrosso
Bruno Mars,Tommy Trash
Bruno Mars,DVBBS
Borgeous,Sebastian Ingrosso
Borgeous,Tommy Trash
Borgeous,DVBBS
Sebastian Ingrosso,Tommy Trash
Sebastian Ingrosso,DVBBS
Tommy Trash,DVBBS
Bruno Mars,B.o.B
Bruno Mars,B.o.B
Bruno Mars,B.o.B
Bruno Mars,B.o.B
Cardi B,DJ Allan
Cardi B,Bruno Mars
DJ Allan,Bruno Mars
Bruno Mars,B.o.B
Cardi B,Bruno Mars
The Ting Tings,Bruno Mars
The Ting Tings,ROSÉ
Bruno Mars,ROSÉ
Bruno Mars,OutKast
Bruno Mars,B.o.B
OutKast,B.o.B
Bruno Mars,B.o.B
Bruno Mars,Justin Timberlake
Bruno Mars,Jonas Brothers
Bruno Mars,Muka
Justin Timberlake,Jonas Brothers
Justin Timberlake,Muka
Jonas Brothers,Muka
Cardi B,Bruno Mars
Bruno Mars,B.o.B
Bruno Mars,B.o.B
Bruno Mars,B.o.B
Cardi B,Bruno Mars
Cardi B,Bruno Mars
Gucci Mane,Bruno Mars
Cardi B,Bruno Mars
Bruno Mars,Justin Timberlake
Bruno Mars,Jonas Brothers
Bruno Mars,Muka
Justin Timberlake,Jonas Brothers
Justin Timberlake,Muka
Jonas Brothers,Muka
Cardi B,Bruno Mars
Bruno Mars,Esperanza Spalding
Cardi B,Bruno Mars
