artist,success_score
Sona Movsesian,0.1199314223106413
Saigon,0.1194478745419436
Chance the Rapper,0.11936105099213865
Matt Gourley,0.11860975410977405
Z‐Ro,0.11845657637785488
Shakira,0.11809901384542572
Like Mike,0.1180664979575234
Udit Narayan,0.1178174696120758
OG Ron C,0.11731142839731831
Gotay el Auténtiko,0.11717711635828798
Pusho,0.11635555043451928
Will Ferrell,0.11534720173370366
Vini Vici,0.11526653671173964
Joey Bada$$,0.11490352317446652
Shreya Ghoshal,0.11485561051801543
C‐Rayz Walz,0.11483644473623031
Berner,0.11483332237044803
Chick Corea,0.11389081258127354
Tragedy Khadafi,0.11382285353896579
Smoke DZA,0.11363840903655728
Neeraj Shridhar,0.11330455779733617
Ariana Grande,0.11256052220883739
Scrufizzer,0.11235183113188127
Action Bronson,0.1113801692505288
KRS‐One,0.11053246009578589
Sech,0.1102279261859312
Dimitri Vegas,0.11017059910782356
D Double E,0.1098783159882185
Chamillionaire,0.10981770026317712
Sfera Ebbasta,0.10973857405664925
Beanie Sigel,0.10929231847158313
Violeta Urmana,0.10912619788945077
Armaan Malik,0.10865831011917321
Warren G,0.10743881233468973
Kokane,0.1073954996415122
Nelly,0.1072891781392122
Yasiin Bey,0.10676508466060561
The Alchemist,0.10670415616217631
Riton,0.1066816264478162
Layzie Bone,0.10567522860121041
Vybz Kartel,0.10542211222432486
Duki,0.10524794529155458
DJ Paul,0.10519679989566559
Jake La Furia,0.10495577892383554
Fashawn,0.1047614583444428
Project Pat,0.10450568593054005
P Money,0.1043763212316385
Guilty Simpson,0.10375249265226472
Dímelo Flow,0.10299295136466358
Roscoe,0.10280092314815442
Wretch 32,0.1020754074368769
Royal Philharmonic Orchestra,0.10181856512881376
Reef the Lost Cauze,0.10171425578391646
Glasses Malone,0.10146114268559994
Skrillex,0.101386590487227
Kendo Kaponi,0.10109419154430735
Swae Lee,0.10108408572297434
Black Thought,0.10104678190363553
R. City,0.10099488825318897
Jay Worthy,0.10066840713786429
Apathy,0.10055032353003024
Chandler Moore,0.10038632280064953
Nicholas Briggs,0.10006909916324432
Skepta,0.09965316386299818
50 Cent,0.09951635289000654
Celph Titled,0.09940438602293275
Mr Eazi,0.09864870628541958
Machel Montano,0.09824567081038174
Darkiel,0.09821784388138262
Shaggy,0.09741355385702016
Buckshot,0.0968478061106207
Tony Williams,0.09657286355004975
Glyndebourne Chorus,0.09652943612801272
Jax Jones,0.09645475795653591
Ja Rule,0.09619459864767574
Mozzy,0.0960925380989821
Alicia Keys,0.09599192253918425
Denzel Curry,0.09585406002295938
Redman,0.09575455176712358
KK,0.09568828198227575
Q‐Unique,0.09568397497307832
Baby Bash,0.09550762423742887
Stefflon Don,0.09531732666595186
Evidence,0.09529074824168604
Elton John,0.09485414483127505
Bishop Lamont,0.09475945585019882
Terrace Martin,0.09424044489279422
Beenie Man,0.09422221019177796
Paul McGann,0.09399921200141394
Boosie Badazz,0.09339980571668095
Reks,0.09334885992730099
Slaine,0.0933143974481957
Orchestra del Maggio Musicale Fiorentino,0.09306917857995271
Juanes,0.09201397099695924
Flowdan,0.09193340992750028
Chyno Nyno,0.09164986514897058
Tropkillaz,0.09140488893721628
Guè,0.09065819824366207
"Leslie Odom, Jr.",0.0904130017877657
DJ Snake,0.09025486492632967
Alejandro Sanz,0.09005597984965436
Remy Ma,0.08956396802159552
Iamsu!,0.08867422087496298
MC Ceja,0.08863845180904432
Shaan,0.0879013929608846
Calvin Harris,0.08765019095435411
Boys Noize,0.08742156212823263
Paul van Dyk,0.08741633986723149
Jme,0.08711378942035654
MC Fioti,0.08686382774422002
Phil da Agony,0.08667340195615852
Daveed Diggs,0.08666715128680463
Polakán,0.08591741217827827
Hit‐Boy,0.08573725704595678
Soprano,0.08564510078379461
Esoteric,0.0854728939515234
Gemitaiz,0.08461350225788891
R3HAB,0.08445866851132974
2Malle,0.0844018540579912
Bronze Nazareth,0.08418257453298568
Soopafly,0.08405129843359468
