artist,num_collaborators,known_genres,dominant_collaborator_genre,dominant_collaborator_genre_count,top_5_collaborator_genres,has_metadata
Balance,3,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Ball Greezy,8,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Bang,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Bantu,3,,Pop Rock,1,"[('Pop Rock', 1)]",False
Barack Obama,2,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Barbara Tucker,1,,EDM,1,"[('EDM', 1)]",False
Barbosa,2,,Reggaeton,1,"[('Reggaeton', 1), ('Latin Trap', 1)]",False
Barbra Streisand,2,,Pop,1,"[('Pop', 1), ('R&B', 1)]",False
Barrie‐James,1,,Alternative Pop,1,"[('Alternative Pop', 1)]",False
Barry Gibb,1,,Pop Rock,1,"[('Pop Rock', 1), ('Alternative', 1)]",False
Bash,4,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Bashy,7,,Pop,2,"[('Pop', 2), ('R&B', 1), ('EDM', 1)]",False
Bass III Euro,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Basshunter,1,,EDM,1,"[('EDM', 1)]",False
Bastille,24,,Pop,2,"[('Pop', 2), ('Dance', 1), ('Dancehall', 1)]",False
Basto,5,,Pop,1,"[('Pop', 1), ('R&B', 1), ('Latin Pop', 1), ('Hip-Hop', 1), ('EDM', 1)]",False
Be No Rain,9,,EDM,1,"[('EDM', 1)]",False
Beanie Sigel,9,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Beans,5,,,0,[],False
Beardyman,2,,EDM,1,"[('EDM', 1)]",False
Beastie Boys,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
Beat Connection,4,,,0,[],False
Beatriz Luengo,2,,Latin Pop,1,"[('Latin Pop', 1), ('Hip-Hop', 1)]",False
Beats International,1,,Pop,1,"[('Pop', 1)]",False
Bebe,16,,Latin Pop,1,"[('Latin Pop', 1)]",False
Bebe Rexha,27,,Hip-Hop,3,"[('Hip-Hop', 3), ('Pop', 3), ('R&B', 1), ('Latin Pop', 1), ('Reggaeton', 1)]",False
Beck,1,,Hip-Hop,1,"[('Hip-Hop', 1)]",False
